103,1,tensor(28),{21: 0.986842, 16: 0.14736, 28: 0.9868419766426086},117000,tensor([-0.0022, -0.0704,  0.0866,  ...,  0.0345, -0.0699,  0.0190])
133,1,tensor(28),{21: 0.986842, 16: 0.14736, 28: 1.0},117000,tensor([-0.0022, -0.0704,  0.0866,  ...,  0.0345, -0.0699,  0.0190])
143,1,tensor(28),{21: 0.986842, 16: 0.14736, 28: 1.0},117000,tensor([-0.0022, -0.0704,  0.0866,  ...,  0.0345, -0.0699,  0.0190])
153,7,tensor(5),{21: 0.986842, 16: 0.14736, 28: 1.0, 5: 1.0},117000,tensor([-0.0107, -0.0546,  0.0629,  ...,  0.0511, -0.0661,  0.0135])
163,7,tensor(5),{21: 0.986842, 16: 0.14736, 28: 1.0, 5: 1.0},117000,tensor([-0.0107, -0.0546,  0.0629,  ...,  0.0511, -0.0661,  0.0135])
173,7,tensor(5),{21: 0.986842, 16: 0.14736, 28: 1.0, 5: 1.0},117000,tensor([-0.0107, -0.0546,  0.0629,  ...,  0.0511, -0.0661,  0.0135])
194,7,tensor(5),{21: 0.986842, 16: 0.14736, 28: 1.0, 5: 1.0},117000,tensor([-0.0107, -0.0546,  0.0629,  ...,  0.0511, -0.0661,  0.0135])
204,25,tensor(0),{21: 0.986842, 16: 0.14736, 28: 1.0, 5: 1.0, 0: 1.0},117000,tensor([-0.0134, -0.0194,  0.0443,  ...,  0.0008, -0.0130, -0.0067])
234,25,tensor(0),{21: 0.986842, 16: 0.14736, 28: 1.0, 5: 1.0, 0: 1.0},117000,tensor([-0.0134, -0.0194,  0.0443,  ...,  0.0008, -0.0130, -0.0067])
254,3,tensor(12),{21: 0.986842, 16: 0.14736, 28: 1.0, 5: 1.0, 0: 1.0, 12: 1.0},117000,tensor([-0.0269, -0.0552,  0.0713,  ...,  0.0538, -0.0670,  0.0190])
264,3,tensor(12),{21: 0.986842, 16: 0.14736, 28: 1.0, 5: 1.0, 0: 1.0, 12: 1.0},117000,tensor([-0.0269, -0.0552,  0.0713,  ...,  0.0538, -0.0670,  0.0190])
