23,7,tensor(13),{13: 0.005435},117000,tensor([ 0.0069, -0.0740,  0.0721,  ...,  0.0515, -0.0673,  0.0190])
53,20,tensor(25),{13: 0.005435, 25: 0.010638000443577766},117000,tensor([ 0.0033, -0.0758,  0.0775,  ...,  0.0226, -0.0670,  0.0097])
63,20,tensor(25),{13: 0.005435, 25: 0.010638},117000,tensor([ 0.0033, -0.0758,  0.0775,  ...,  0.0226, -0.0670,  0.0097])
73,20,tensor(25),{13: 0.005435, 25: 0.010638},117000,tensor([ 0.0033, -0.0758,  0.0775,  ...,  0.0226, -0.0670,  0.0097])
83,20,tensor(25),{13: 0.005435, 25: 0.010638},117000,tensor([ 0.0033, -0.0758,  0.0775,  ...,  0.0226, -0.0670,  0.0097])
93,20,tensor(25),{13: 0.005435, 25: 0.010638},117000,tensor([ 0.0033, -0.0758,  0.0775,  ...,  0.0226, -0.0670,  0.0097])
103,3,tensor(15),{13: 0.005435, 25: 0.010638, 15: 0.2671850025653839},117000,tensor([ 0.0111, -0.0662,  0.0733,  ...,  0.0286, -0.0598,  0.0124])
113,13,tensor(15),{13: 0.005435, 25: 0.010638, 15: 0.269649},117000,tensor([ 0.0075, -0.0633,  0.0709,  ...,  0.0286, -0.0589,  0.0150])
123,3,tensor(15),{13: 0.005435, 25: 0.010638, 15: 0.267185},117000,tensor([ 0.0111, -0.0662,  0.0733,  ...,  0.0286, -0.0598,  0.0124])
133,3,tensor(15),{13: 0.005435, 25: 0.010638, 15: 0.267185},117000,tensor([ 0.0111, -0.0662,  0.0733,  ...,  0.0286, -0.0598,  0.0124])
143,3,tensor(15),{13: 0.005435, 25: 0.010638, 15: 0.267185},117000,tensor([ 0.0111, -0.0662,  0.0733,  ...,  0.0286, -0.0598,  0.0124])
153,8,tensor(1),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0},117000,tensor([-0.0093, -0.0582,  0.0541,  ...,  0.0587, -0.0595,  0.0190])
163,8,tensor(1),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0},117000,tensor([-0.0093, -0.0582,  0.0541,  ...,  0.0587, -0.0595,  0.0190])
204,23,tensor(16),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0, 16: 0.2293729931116104},117000,tensor([-0.0104, -0.0369,  0.0627,  ..., -0.0194, -0.0004, -0.0047])
214,2,tensor(16),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0, 16: 0.266314},117000,tensor([-0.0069, -0.0386,  0.0640,  ..., -0.0174,  0.0002, -0.0047])
224,2,tensor(16),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0, 16: 0.266314},117000,tensor([-0.0069, -0.0386,  0.0640,  ..., -0.0174,  0.0002, -0.0047])
234,30,tensor(16),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0, 16: 0.376747},117000,tensor([-0.0076, -0.0376,  0.0628,  ..., -0.0146,  0.0002, -0.0047])
254,10,tensor(29),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0, 16: 0.376747, 29: 0.946636974811554},117000,tensor([-0.0095, -0.0517,  0.0600,  ...,  0.0420, -0.0675,  0.0190])
274,9,tensor(29),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0, 16: 0.376747, 29: 1.0},117000,tensor([-0.0133, -0.0459,  0.0534,  ...,  0.0381, -0.0682,  0.0190])
295,9,tensor(29),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0, 16: 0.376747, 29: 1.0},117000,tensor([-0.0151, -0.0440,  0.0516,  ...,  0.0365, -0.0697,  0.0190])
305,11,tensor(21),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0, 16: 0.376747, 29: 1.0, 21: 1.0},117000,tensor([-2.7982e-02, -6.3464e-02,  8.4420e-02,  ...,  4.1376e-02,
        -6.7042e-02,  1.8708e-05])
315,11,tensor(21),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0, 16: 0.376747, 29: 1.0, 21: 1.0},117000,tensor([-2.7982e-02, -6.3464e-02,  8.4420e-02,  ...,  4.1376e-02,
        -6.7042e-02,  1.8708e-05])
325,11,tensor(21),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0, 16: 0.376747, 29: 1.0, 21: 1.0},117000,tensor([-2.7982e-02, -6.3464e-02,  8.4420e-02,  ...,  4.1376e-02,
        -6.7042e-02,  1.8708e-05])
336,11,tensor(21),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0, 16: 0.376747, 29: 1.0, 21: 1.0},117000,tensor([-2.7982e-02, -6.3464e-02,  8.4420e-02,  ...,  4.1376e-02,
        -6.7042e-02,  1.8708e-05])
346,11,tensor(21),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0, 16: 0.376747, 29: 1.0, 21: 1.0},117000,tensor([-2.7982e-02, -6.3464e-02,  8.4420e-02,  ...,  4.1376e-02,
        -6.7042e-02,  1.8708e-05])
356,6,tensor(4),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0, 16: 0.376747, 29: 1.0, 21: 1.0, 4: 1.0},117000,tensor([-0.0158, -0.0501,  0.0591,  ...,  0.0636, -0.0670,  0.0177])
367,6,tensor(4),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0, 16: 0.376747, 29: 1.0, 21: 1.0, 4: 1.0},117000,tensor([-0.0158, -0.0501,  0.0591,  ...,  0.0636, -0.0670,  0.0177])
397,6,tensor(4),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0, 16: 0.376747, 29: 1.0, 21: 1.0, 4: 1.0},117000,tensor([-0.0158, -0.0501,  0.0591,  ...,  0.0636, -0.0670,  0.0177])
407,10,tensor(0),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0, 16: 0.376747, 29: 1.0, 21: 1.0, 4: 1.0, 0: 1.0},117000,tensor([-0.0142, -0.0193,  0.0446,  ...,  0.0006, -0.0130, -0.0108])
417,10,tensor(0),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0, 16: 0.376747, 29: 1.0, 21: 1.0, 4: 1.0, 0: 1.0},117000,tensor([-0.0142, -0.0193,  0.0446,  ...,  0.0006, -0.0130, -0.0108])
447,10,tensor(0),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0, 16: 0.376747, 29: 1.0, 21: 1.0, 4: 1.0, 0: 1.0},117000,tensor([-0.0142, -0.0193,  0.0446,  ...,  0.0006, -0.0130, -0.0108])
457,30,tensor(20),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0, 16: 0.376747, 29: 1.0, 21: 1.0, 4: 1.0, 0: 1.0, 20: 1.0},117000,tensor([-0.0304, -0.0021,  0.0231,  ..., -0.0302, -0.0173, -0.0054])
467,30,tensor(20),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0, 16: 0.376747, 29: 1.0, 21: 1.0, 4: 1.0, 0: 1.0, 20: 1.0},117000,tensor([-0.0304, -0.0021,  0.0231,  ..., -0.0302, -0.0173, -0.0054])
477,30,tensor(20),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0, 16: 0.376747, 29: 1.0, 21: 1.0, 4: 1.0, 0: 1.0, 20: 1.0},117000,tensor([-0.0304, -0.0021,  0.0231,  ..., -0.0302, -0.0173, -0.0054])
487,30,tensor(20),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0, 16: 0.376747, 29: 1.0, 21: 1.0, 4: 1.0, 0: 1.0, 20: 1.0},117000,tensor([-0.0304, -0.0021,  0.0231,  ..., -0.0302, -0.0173, -0.0054])
508,4,tensor(23),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0, 16: 0.376747, 29: 1.0, 21: 1.0, 4: 1.0, 0: 1.0, 20: 1.0, 23: 1.0},117000,tensor([-0.0003, -0.0656,  0.0759,  ...,  0.0343, -0.0754, -0.0026])
528,4,tensor(23),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0, 16: 0.376747, 29: 1.0, 21: 1.0, 4: 1.0, 0: 1.0, 20: 1.0, 23: 1.0},117000,tensor([-0.0003, -0.0656,  0.0759,  ...,  0.0343, -0.0754, -0.0026])
558,1,tensor(14),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0, 16: 0.376747, 29: 1.0, 21: 1.0, 4: 1.0, 0: 1.0, 20: 1.0, 23: 1.0, 14: 1.0},117000,tensor([-0.0488, -0.0663,  0.0839,  ...,  0.0489, -0.0815,  0.0190])
568,1,tensor(14),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0, 16: 0.376747, 29: 1.0, 21: 1.0, 4: 1.0, 0: 1.0, 20: 1.0, 23: 1.0, 14: 1.0},117000,tensor([-0.0488, -0.0663,  0.0839,  ...,  0.0489, -0.0815,  0.0190])
578,1,tensor(14),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0, 16: 0.376747, 29: 1.0, 21: 1.0, 4: 1.0, 0: 1.0, 20: 1.0, 23: 1.0, 14: 1.0},117000,tensor([-0.0488, -0.0663,  0.0839,  ...,  0.0489, -0.0815,  0.0190])
588,1,tensor(14),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0, 16: 0.376747, 29: 1.0, 21: 1.0, 4: 1.0, 0: 1.0, 20: 1.0, 23: 1.0, 14: 1.0},117000,tensor([-0.0488, -0.0663,  0.0839,  ...,  0.0489, -0.0815,  0.0190])
608,13,tensor(7),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0, 16: 0.376747, 29: 1.0, 21: 1.0, 4: 1.0, 0: 1.0, 20: 1.0, 23: 1.0, 14: 1.0, 7: 0.32930800318717957},117000,tensor([ 0.0191, -0.0752,  0.0646,  ...,  0.0204, -0.0455,  0.0150])
618,9,tensor(7),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0, 16: 0.376747, 29: 1.0, 21: 1.0, 4: 1.0, 0: 1.0, 20: 1.0, 23: 1.0, 14: 1.0, 7: 0.329308},117000,tensor([ 0.0197, -0.0754,  0.0665,  ...,  0.0193, -0.0456,  0.0150])
635,9,tensor(7),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0, 16: 0.376747, 29: 1.0, 21: 1.0, 4: 1.0, 0: 1.0, 20: 1.0, 23: 1.0, 14: 1.0, 7: 0.329308},117000,tensor([ 0.0197, -0.0754,  0.0665,  ...,  0.0193, -0.0456,  0.0150])
655,9,tensor(7),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0, 16: 0.376747, 29: 1.0, 21: 1.0, 4: 1.0, 0: 1.0, 20: 1.0, 23: 1.0, 14: 1.0, 7: 0.329308, 24: 0.0},117000,tensor([ 0.0197, -0.0754,  0.0665,  ...,  0.0193, -0.0456,  0.0150])
675,9,tensor(7),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0, 16: 0.376747, 29: 1.0, 21: 1.0, 4: 1.0, 0: 1.0, 20: 1.0, 23: 1.0, 14: 1.0, 7: 0.329308, 24: 0.029688},117000,tensor([ 0.0197, -0.0754,  0.0665,  ...,  0.0193, -0.0456,  0.0150])
695,25,tensor(24),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0, 16: 0.376747, 29: 1.0, 21: 1.0, 4: 1.0, 0: 1.0, 20: 1.0, 23: 1.0, 14: 1.0, 7: 0.329308, 24: 0.36180099844932556},117000,tensor([-0.0359, -0.0503,  0.0638,  ...,  0.0301, -0.0681,  0.0190])
715,25,tensor(24),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0, 16: 0.376747, 29: 1.0, 21: 1.0, 4: 1.0, 0: 1.0, 20: 1.0, 23: 1.0, 14: 1.0, 7: 0.329308, 24: 0.361801, 17: 0.023955},117000,tensor([-0.0359, -0.0503,  0.0638,  ...,  0.0301, -0.0681,  0.0190])
735,25,tensor(24),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0, 16: 0.376747, 29: 1.0, 21: 1.0, 4: 1.0, 0: 1.0, 20: 1.0, 23: 1.0, 14: 1.0, 7: 0.329308, 24: 0.361801, 17: 0.771411},117000,tensor([-0.0359, -0.0503,  0.0638,  ...,  0.0301, -0.0681,  0.0190])
756,25,tensor(24),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0, 16: 0.376747, 29: 1.0, 21: 1.0, 4: 1.0, 0: 1.0, 20: 1.0, 23: 1.0, 14: 1.0, 7: 0.329308, 24: 0.361801, 17: 1.0, 28: 0.0},117000,tensor([-0.0359, -0.0503,  0.0638,  ...,  0.0301, -0.0681,  0.0190])
776,25,tensor(24),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0, 16: 0.376747, 29: 1.0, 21: 1.0, 4: 1.0, 0: 1.0, 20: 1.0, 23: 1.0, 14: 1.0, 7: 0.329308, 24: 0.361801, 17: 1.0, 28: 0.93348},117000,tensor([-0.0359, -0.0503,  0.0638,  ...,  0.0301, -0.0681,  0.0190])
796,7,tensor(17),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0, 16: 0.376747, 29: 1.0, 21: 1.0, 4: 1.0, 0: 1.0, 20: 1.0, 23: 1.0, 14: 1.0, 7: 0.329308, 24: 0.361801, 17: 1.0, 28: 1.0},117000,tensor([-0.0146, -0.0622,  0.0735,  ...,  0.0401, -0.0670,  0.0190])
816,7,tensor(17),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0, 16: 0.376747, 29: 1.0, 21: 1.0, 4: 1.0, 0: 1.0, 20: 1.0, 23: 1.0, 14: 1.0, 7: 0.329308, 24: 0.361801, 17: 1.0, 28: 0.986842, 31: 0.0},117000,tensor([-0.0146, -0.0622,  0.0735,  ...,  0.0401, -0.0670,  0.0190])
836,7,tensor(17),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0, 16: 0.376747, 29: 1.0, 21: 1.0, 4: 1.0, 0: 1.0, 20: 1.0, 23: 1.0, 14: 1.0, 7: 0.329308, 24: 0.361801, 17: 1.0, 28: 0.986842, 31: 0.0},117000,tensor([-0.0146, -0.0622,  0.0735,  ...,  0.0401, -0.0670,  0.0190])
856,7,tensor(17),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0, 16: 0.376747, 29: 1.0, 21: 1.0, 4: 1.0, 0: 1.0, 20: 1.0, 23: 1.0, 14: 1.0, 7: 0.329308, 24: 0.361801, 17: 1.0, 28: 0.986842, 31: 0.01099, 3: 0.0},117000,tensor([-0.0146, -0.0622,  0.0735,  ...,  0.0401, -0.0670,  0.0190])
876,7,tensor(17),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0, 16: 0.376747, 29: 1.0, 21: 1.0, 4: 1.0, 0: 1.0, 20: 1.0, 23: 1.0, 14: 1.0, 7: 0.329308, 24: 0.361801, 17: 1.0, 28: 0.986842, 31: 0.01099, 3: 0.0},117000,tensor([-0.0146, -0.0622,  0.0735,  ...,  0.0401, -0.0670,  0.0190])
896,1,tensor(28),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0, 16: 0.376747, 29: 1.0, 21: 1.0, 4: 1.0, 0: 1.0, 20: 1.0, 23: 1.0, 14: 1.0, 7: 0.329308, 24: 0.361801, 17: 1.0, 28: 1.0, 31: 0.01099, 3: 0.397457},117000,tensor([-0.0022, -0.0704,  0.0866,  ...,  0.0345, -0.0699,  0.0190])
916,1,tensor(28),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0, 16: 0.376747, 29: 1.0, 21: 1.0, 4: 1.0, 0: 1.0, 20: 1.0, 23: 1.0, 14: 1.0, 7: 0.329308, 24: 0.361801, 17: 1.0, 28: 1.0, 31: 0.01099, 3: 0.718159, 5: 0.0},117000,tensor([-0.0022, -0.0704,  0.0866,  ...,  0.0345, -0.0699,  0.0190])
936,1,tensor(28),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0, 16: 0.376747, 29: 1.0, 21: 1.0, 4: 1.0, 0: 1.0, 20: 1.0, 23: 1.0, 14: 1.0, 7: 0.329308, 24: 0.361801, 17: 1.0, 28: 1.0, 31: 0.01099, 3: 0.718159, 5: 0.946637},117000,tensor([-0.0022, -0.0704,  0.0866,  ...,  0.0345, -0.0699,  0.0190])
956,1,tensor(28),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0, 16: 0.376747, 29: 1.0, 21: 1.0, 4: 1.0, 0: 1.0, 20: 1.0, 23: 1.0, 14: 1.0, 7: 0.329308, 24: 0.361801, 17: 1.0, 28: 1.0, 31: 0.01099, 3: 0.718159, 5: 0.986842, 30: 0.0},117000,tensor([-0.0022, -0.0704,  0.0866,  ...,  0.0345, -0.0699,  0.0190])
976,1,tensor(28),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0, 16: 0.376747, 29: 1.0, 21: 1.0, 4: 1.0, 0: 1.0, 20: 1.0, 23: 1.0, 14: 1.0, 7: 0.329308, 24: 0.361801, 17: 1.0, 28: 1.0, 31: 0.01099, 3: 0.718159, 5: 0.986842, 30: 0.648133},117000,tensor([-0.0022, -0.0704,  0.0866,  ...,  0.0345, -0.0699,  0.0190])
997,2,tensor(31),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0, 16: 0.376747, 29: 1.0, 21: 1.0, 4: 1.0, 0: 1.0, 20: 1.0, 23: 1.0, 14: 1.0, 7: 0.329308, 24: 0.361801, 17: 1.0, 28: 1.0, 31: 1.0, 3: 0.718159, 5: 0.986842, 30: 0.986842},117000,tensor([-0.0135, -0.0918,  0.0785,  ...,  0.0198, -0.0620,  0.0190])
1017,2,tensor(31),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0, 16: 0.376747, 29: 1.0, 21: 1.0, 4: 1.0, 0: 1.0, 20: 1.0, 23: 1.0, 14: 1.0, 7: 0.329308, 24: 0.361801, 17: 1.0, 28: 1.0, 31: 1.0, 3: 0.718159, 5: 0.986842, 30: 0.848684, 19: 0.0},117000,tensor([-0.0135, -0.0918,  0.0785,  ...,  0.0198, -0.0620,  0.0190])
1037,2,tensor(31),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0, 16: 0.376747, 29: 1.0, 21: 1.0, 4: 1.0, 0: 1.0, 20: 1.0, 23: 1.0, 14: 1.0, 7: 0.329308, 24: 0.361801, 17: 1.0, 28: 1.0, 31: 1.0, 3: 0.718159, 5: 0.986842, 30: 0.848684, 19: 0.024702},117000,tensor([-0.0135, -0.0918,  0.0785,  ...,  0.0198, -0.0620,  0.0190])
1057,2,tensor(31),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0, 16: 0.376747, 29: 1.0, 21: 1.0, 4: 1.0, 0: 1.0, 20: 1.0, 23: 1.0, 14: 1.0, 7: 0.329308, 24: 0.361801, 17: 1.0, 28: 1.0, 31: 1.0, 3: 0.718159, 5: 0.986842, 30: 0.848684, 19: 0.850345, 26: 0.0},117000,tensor([-0.0135, -0.0918,  0.0785,  ...,  0.0198, -0.0620,  0.0190])
1078,2,tensor(31),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0, 16: 0.376747, 29: 1.0, 21: 1.0, 4: 1.0, 0: 1.0, 20: 1.0, 23: 1.0, 14: 1.0, 7: 0.329308, 24: 0.361801, 17: 1.0, 28: 1.0, 31: 1.0, 3: 0.718159, 5: 0.986842, 30: 0.848684, 19: 0.850345, 26: 0.0},117000,tensor([-0.0135, -0.0918,  0.0785,  ...,  0.0198, -0.0620,  0.0190])
1098,2,tensor(3),{13: 0.005435, 25: 0.010638, 15: 0.267185, 1: 1.0, 16: 0.376747, 29: 1.0, 21: 1.0, 4: 1.0, 0: 1.0, 20: 1.0, 23: 1.0, 14: 1.0, 7: 0.329308, 24: 0.361801, 17: 1.0, 28: 1.0, 31: 1.0, 3: 1.0, 5: 0.986842, 30: 0.848684, 19: 0.850345, 26: 0.035061},117000,tensor([ 0.0066, -0.0715,  0.0736,  ...,  0.0490, -0.0561,  0.0157])
