103,29,tensor(17),{26: 0.986842, 0: 1.0, 17: 1.0},117000,tensor([-0.0085, -0.0628,  0.0748,  ...,  0.0448, -0.0670,  0.0190])
113,18,tensor(17),{26: 0.986842, 0: 1.0, 17: 1.0},117000,tensor([-0.0093, -0.0650,  0.0771,  ...,  0.0445, -0.0670,  0.0190])
123,29,tensor(17),{26: 0.986842, 0: 1.0, 17: 1.0},117000,tensor([-0.0085, -0.0628,  0.0748,  ...,  0.0448, -0.0670,  0.0190])
133,18,tensor(17),{26: 0.986842, 0: 1.0, 17: 1.0},117000,tensor([-0.0104, -0.0636,  0.0759,  ...,  0.0448, -0.0670,  0.0190])
153,26,tensor(7),{26: 0.986842, 0: 1.0, 17: 1.0, 7: 0.3192639946937561},117000,tensor([ 0.0141, -0.0676,  0.0600,  ...,  0.0246, -0.0472,  0.0147])
163,3,tensor(7),{26: 0.986842, 0: 1.0, 17: 1.0, 7: 0.319264},117000,tensor([ 0.0162, -0.0723,  0.0638,  ...,  0.0226, -0.0458,  0.0167])
173,3,tensor(7),{26: 0.986842, 0: 1.0, 17: 1.0, 7: 0.319264},117000,tensor([ 0.0162, -0.0723,  0.0638,  ...,  0.0226, -0.0458,  0.0167])
183,3,tensor(7),{26: 0.986842, 0: 1.0, 17: 1.0, 7: 0.319264},117000,tensor([ 0.0162, -0.0723,  0.0638,  ...,  0.0226, -0.0458,  0.0167])
193,4,tensor(7),{26: 0.986842, 0: 1.0, 17: 1.0, 7: 0.329308},117000,tensor([ 0.0181, -0.0724,  0.0624,  ...,  0.0235, -0.0462,  0.0167])
203,3,tensor(10),{26: 0.986842, 0: 1.0, 17: 1.0, 7: 0.329308, 10: 1.0},117000,tensor([-0.0188, -0.0143,  0.0523,  ..., -0.0254, -0.0102, -0.0013])
213,19,tensor(10),{26: 0.986842, 0: 1.0, 17: 1.0, 7: 0.329308, 10: 1.0},117000,tensor([-0.0343, -0.0082,  0.0493,  ..., -0.0259, -0.0106, -0.0014])
233,5,tensor(10),{26: 0.986842, 0: 1.0, 17: 1.0, 7: 0.329308, 10: 1.0},117000,tensor([-0.0325, -0.0128,  0.0521,  ..., -0.0252, -0.0110, -0.0048])
