0.0,0.0,0.0,1674643929.8555763
1.0,25.0,1.0,1674643950.392225
2.0,50.0,2.0,1674643970.580965
3.0,75.0,3.0,1674643993.924503
4.0,100.0,4.0,1674644016.023311
5.0,125.0,5.0,1674644036.9065661
6.0,150.0,6.0,1674644059.1498904
7.0,175.0,7.0,1674644079.0604262
8.0,200.0,8.0,1674644100.0056143
9.0,225.0,9.0,1674644123.3101115
10.0,250.0,10.0,1674644144.6986496
11.0,275.0,11.0,1674644165.8380945
12.0,300.0,12.0,1674644188.1666443
13.0,325.0,13.0,1674644212.0649524
14.0,350.0,14.0,1674644237.3514304
15.0,375.0,15.0,1674644261.1427236
16.0,400.0,0.0,1674644285.6106791
17.0,425.0,1.0,1674644308.828619
18.0,450.0,2.0,1674644333.272212
19.0,475.0,3.0,1674644356.2951303
20.0,500.0,4.0,1674644378.6954124
21.0,525.0,5.0,1674644401.452077
22.0,550.0,6.0,1674644425.4573555
23.0,575.0,7.0,1674644447.5960214
24.0,600.0,8.0,1674644469.6647468
25.0,625.0,9.0,1674644492.8199427
26.0,650.0,10.0,1674644516.8598623
27.0,675.0,11.0,1674644542.6467679
28.0,700.0,12.0,1674644565.1891918
29.0,725.0,13.0,1674644587.046084
30.0,750.0,14.0,1674644609.5634034
31.0,775.0,15.0,1674644632.083029
32.0,800.0,0.0,1674644653.940391
33.0,825.0,1.0,1674644676.7624307
34.0,850.0,2.0,1674644699.5190372
35.0,875.0,3.0,1674644722.5229342
36.0,900.0,4.0,1674644745.1253088
37.0,925.0,5.0,1674644770.361226
38.0,950.0,6.0,1674644793.176249
39.0,975.0,7.0,1674644817.309544
40.0,1000.0,8.0,1674644843.4401429
41.0,1025.0,9.0,1674644866.1894145
42.0,1050.0,10.0,1674644889.4442673
43.0,1075.0,11.0,1674644912.4398806
44.0,1100.0,12.0,1674644935.1412423
45.0,1125.0,13.0,1674644957.8891208
46.0,1150.0,14.0,1674644979.987476
47.0,1175.0,15.0,1674645002.1235979
48.0,1200.0,0.0,1674645024.6709182
49.0,1225.0,1.0,1674645047.2686918
50.0,1250.0,2.0,1674645069.1388767
51.0,1275.0,3.0,1674645091.9189196
52.0,1300.0,4.0,1674645115.5677152
53.0,1325.0,5.0,1674645140.038343
54.0,1350.0,6.0,1674645162.163827
55.0,1375.0,7.0,1674645184.576999
56.0,1400.0,8.0,1674645207.024494
57.0,1425.0,9.0,1674645228.9928968
58.0,1450.0,10.0,1674645251.953963
59.0,1475.0,11.0,1674645275.2895396
