# Seed set 1
[9157, 9158, 9159, 9160, 9161, 9162, 9163, 9164, 9165, 9166, 9167, 9168, 9169, 9157, 9171, 9172, 9173, 9174, 9175, 9176, 9177, 9178, 9179, 9180, 9181, 9182, 9183, 9184, 9185, 9186, 9187, 9188, 9189, 9190, 9191, 9192, 9193, 9194, 9195, 9196, 9197, 9198, 9199, 9200, 9201, 9202, 9203, 9204, 9205, 9206, 9207, 9208, 9209, 9210, 9211, 9212, 9213, 9214, 9215, 9216, 9217, 9218, 9219, 9220, 9221, 9222, 9223, 9224, 9225, 9226, 9227, 9228, 9229, 9230, 9231, 9232, 9233, 9234, 9235, 9236, 9237, 9238, 9239, 9240, 9241, 9242, 9243, 9244, 9245, 9246, 9247, 9248, 9249, 9250, 9251, 9252, 9253, 9254, 9255, 9256, 9257, 9258, 9259, 9260, 9261, 9262, 9263, 9264, 9265, 9266, 9267, 9268, 9269, 9270, 9271, 9272, 9273, 9274, 9275, 9276, 9277, 9278, 9279, 9280, 9281, 9282, 9283, 9284, 9285, 9286, 9287, 9288, 9289, 9290]

# Seed set 2
[9802, 6302, 1902, 4446, 9575, 1954, 3972, 5761, 8004, 3993, 6553, 8805, 5066, 9802, 3866, 3286, 7320, 9983, 6415, 9435, 6287, 9641, 4269, 4702, 3110, 5178, 2745, 2241, 5138, 2297, 8394, 4149, 9432, 1139, 8454, 7310, 2515, 3770, 2056, 4655, 9361, 8400, 7388, 3709, 8528, 6452, 3675, 2452, 2387, 7538, 2170, 3623, 6957, 9757, 7478, 8012, 5101, 2003, 6889, 2753, 3776, 3327, 5195, 3168, 5267, 1651, 9718, 9527, 3528, 5288, 7565, 1076, 7490, 7712, 9634, 4162, 6335, 8806, 5439, 8580, 9396, 4205, 7936, 3323, 2568, 4169, 4836, 6183, 6640, 1144, 9409, 6028, 7892, 5721, 7073, 4380, 1097, 2638, 1680, 2846, 7263, 2120, 6869, 5338, 2779, 9088, 7380, 7095, 5106, 7881, 8551, 5693, 1426, 9622, 6036, 6079, 5855, 2066, 2199, 5028, 9551, 5160, 7270, 3741, 5070, 5811, 7461, 6188, 5578, 2734, 4910, 9268, 1440, 6583]

# Seed set 3
[9822, 8946, 4693, 3519, 6652, 6613, 4197, 8640, 6738, 8248, 7423, 9725, 8760, 9822, 7954, 7832, 9901, 2063, 8347, 3798, 3710, 7752, 6925, 3573, 8074, 4855, 8364, 5260, 2085, 3765, 8911, 2455, 7708, 7191, 2791, 9043, 7605, 7431, 2527, 1388, 5083, 5119, 2441, 2134, 8708, 5036, 5673, 2453, 9234, 8997, 3976, 5970, 4652, 6215, 9831, 8396, 4035, 7549, 4218, 9316, 3832, 6063, 5720, 6746, 6584, 1820, 6729, 3129, 2218, 7448, 4509, 8110, 4184, 9257, 9988, 1617, 6177, 7375, 6011, 3289, 2860, 5923, 1447, 4971, 6866, 6211, 2780, 5592, 8942, 6664, 9877, 9531, 3587, 8360, 3426, 7514, 3487, 6569, 5457, 1980, 7717, 1364, 5737, 6744, 2129, 9353, 9274, 3290, 2367, 7053, 7546, 9463, 6001, 9772, 8829, 5217, 5188, 5424, 8500, 8227, 9255, 5641, 1403, 4160, 8475, 6284, 9378, 8755, 9628, 5915, 6829, 3511, 8634, 8585]

# Seed set 4
[2211, 5036, 8814, 2851, 4719, 3672, 3523, 6978, 1399, 5952, 9744, 3633, 4131, 2211, 7504, 4235, 9596, 9073, 3660, 6134, 6023, 5925, 7371, 2768, 8026, 1200, 5181, 4273, 5865, 3716, 7957, 1477, 9623, 3024, 9308, 3956, 1523, 6509, 4372, 9112, 4864, 6096, 7791, 8363, 3212, 1895, 9841, 8710, 9103, 5825, 5014, 9837, 6386, 4685, 1197, 4099, 9958, 4917, 5353, 2734, 1659, 5964, 4885, 8105, 5913, 6912, 8346, 1292, 8350, 4438, 5799, 1592, 5594, 6331, 3410, 4864, 6291, 3790, 4659, 6898, 9755, 9739, 5615, 5570, 8149, 9442, 8103, 8742, 9778, 5705, 5656, 7696, 3822, 5602, 9935, 9749, 3472, 6739, 4539, 1925, 5784, 5800, 1750, 6070, 2490, 3835, 1598, 2467, 2646, 2229, 2193, 8025, 5931, 4093, 6262, 5176, 3780, 6387, 4747, 2309, 1865, 4166, 8887, 1209, 1936, 6400, 3630, 7759, 1237, 9426, 7999, 4916, 2783, 2997]

# Seed set 5
[1911, 7687, 1029, 4641, 7122, 6470, 5614, 4687, 8024, 3218, 8224, 2047, 6219, 1911, 4026, 5935, 6088, 1335, 9036, 9444, 8140, 2435, 5475, 3733, 9914, 1597, 9914, 7754, 9206, 2556, 5130, 9186, 1114, 5070, 1139, 1194, 1711, 4737, 9006, 3138, 9804, 8294, 9871, 5458, 3880, 3128, 7267, 4191, 9647, 7340, 7845, 9206, 8509, 4024, 7672, 8371, 1914, 3335, 5553, 3542, 6721, 3071, 5356, 6210, 6748, 2299, 6276, 4266, 8962, 6384, 3730, 5730, 6461, 8582, 7896, 9973, 8752, 3791, 9982, 7590, 3252, 3530, 3730, 9163, 3918, 4765, 7493, 9170, 5237, 6791, 2736, 5355, 9955, 2679, 4472, 2223, 1400, 4360, 8716, 6603, 7014, 4521, 9578, 5675, 8384, 9123, 4991, 9742, 1274, 2456, 4208, 9738, 8602, 9820, 1381, 3837, 3158, 4804, 9430, 9466, 3346, 2781, 2357, 9835, 7328, 8685, 2419, 6233, 9364, 8829, 1480, 6263, 6093, 1849]

# Seed set 6
