103,15,tensor(16),{19: 0.973684, 6: 0.200254, 16: 0.14735999703407288},117000,tensor([-0.0224, -0.0267,  0.0505,  ..., -0.0349, -0.0116, -0.0047])
153,4,tensor(22),{19: 0.973684, 6: 0.200254, 16: 0.14735999703407288, 22: 1.0},117000,tensor([ 0.0112, -0.0907,  0.0832,  ...,  0.0622, -0.0670,  0.0190])
163,4,tensor(22),{19: 0.973684, 6: 0.200254, 16: 0.14735999703407288, 22: 1.0},117000,tensor([ 0.0112, -0.0907,  0.0832,  ...,  0.0622, -0.0670,  0.0190])
184,4,tensor(22),{19: 0.973684, 6: 0.200254, 16: 0.14735999703407288, 22: 1.0},117000,tensor([ 0.0112, -0.0907,  0.0832,  ...,  0.0622, -0.0670,  0.0190])
204,3,tensor(15),{19: 0.973684, 6: 0.200254, 16: 0.14735999703407288, 22: 1.0, 15: 0.2671850025653839},117000,tensor([ 0.0111, -0.0662,  0.0733,  ...,  0.0286, -0.0598,  0.0124])
214,3,tensor(15),{19: 0.973684, 6: 0.200254, 16: 0.14735999703407288, 22: 1.0, 15: 0.267185},117000,tensor([ 0.0111, -0.0662,  0.0733,  ...,  0.0286, -0.0598,  0.0124])
225,3,tensor(15),{19: 0.973684, 6: 0.200254, 16: 0.14735999703407288, 22: 1.0, 15: 0.267185},117000,tensor([ 0.0111, -0.0662,  0.0733,  ...,  0.0286, -0.0598,  0.0124])
235,3,tensor(15),{19: 0.973684, 6: 0.200254, 16: 0.14735999703407288, 22: 1.0, 15: 0.267185},117000,tensor([ 0.0111, -0.0662,  0.0733,  ...,  0.0286, -0.0598,  0.0124])
245,10,tensor(15),{19: 0.973684, 6: 0.200254, 16: 0.14735999703407288, 22: 1.0, 15: 0.27749},117000,tensor([ 0.0121, -0.0668,  0.0746,  ...,  0.0286, -0.0587,  0.0106])
255,11,tensor(21),{19: 0.973684, 6: 0.200254, 16: 0.14735999703407288, 22: 1.0, 15: 0.27749, 21: 1.0},117000,tensor([-2.7982e-02, -6.3464e-02,  8.4420e-02,  ...,  4.1376e-02,
        -6.7042e-02,  1.8708e-05])
